iter	Passed	Remaining
755	1065	344
756	1066	342
757	1067	340
758	1068	339
759	1069	337
760	1071	336
761	1072	334
762	1073	333
763	1074	331
764	1075	330
765	1076	328
766	1077	327
767	1078	325
768	1079	324
769	1080	322
770	1081	321
771	1082	319
772	1083	318
773	1084	316
774	1085	315
775	1086	313
776	1087	312
777	1088	310
778	1089	309
779	1090	307
780	1091	306
781	1092	304
782	1094	303
783	1095	301
784	1096	300
785	1097	298
786	1098	297
787	1099	295
788	1100	294
789	1101	292
790	1102	291
791	1103	289
792	1104	288
793	1105	286
794	1106	285
795	1107	283
796	1108	282
797	1109	280
798	1110	279
799	1111	277
800	1112	276
801	1113	274
802	1114	273
803	1115	271
804	1116	270
805	1117	268
806	1118	267
807	1119	266
808	1120	264
809	1121	263
810	1122	261
811	1123	260
812	1124	258
813	1125	257
814	1127	255
815	1128	254
816	1129	252
817	1130	251
818	1131	250
819	1132	248
820	1133	247
821	1134	245
822	1135	244
823	1136	242
824	1137	241
825	1138	239
826	1139	238
827	1140	236
828	1141	235
829	1142	234
830	1143	232
831	1144	231
832	1145	229
833	1146	228
834	1147	226
835	1148	225
836	1150	223
837	1151	222
838	1152	221
839	1153	219
840	1154	218
841	1155	216
842	1156	215
843	1157	213
844	1158	212
845	1159	211
846	1160	209
847	1161	208
848	1162	206
849	1163	205
850	1164	203
851	1165	202
852	1166	201
853	1167	199
854	1168	198
855	1170	196
856	1171	195
857	1172	193
858	1173	192
859	1173	191
860	1175	189
861	1175	188
862	1177	186
863	1178	185
864	1179	184
865	1180	182
866	1181	181
867	1182	179
868	1183	178
869	1184	176
870	1185	175
871	1186	174
872	1187	172
873	1188	171
874	1189	169
875	1190	168
876	1191	167
877	1192	165
878	1193	164
879	1195	162
880	1196	161
881	1197	160
882	1198	158
883	1199	157
884	1200	156
885	1201	154
886	1202	153
887	1203	151
888	1204	150
889	1205	149
890	1206	147
891	1207	146
892	1209	144
893	1210	143
894	1211	142
895	1212	140
896	1213	139
897	1214	137
898	1215	136
899	1216	135
900	1217	133
901	1218	132
902	1219	131
903	1220	129
904	1221	128
905	1222	126
906	1223	125
907	1224	124
908	1226	122
909	1227	121
910	1228	119
911	1229	118
912	1230	117
913	1231	115
914	1232	114
915	1233	113
916	1234	111
917	1236	110
918	1237	109
919	1238	107
920	1239	106
921	1240	104
922	1241	103
923	1242	102
924	1243	100
925	1244	99
926	1245	98
927	1246	96
928	1247	95
929	1248	93
930	1249	92
931	1250	91
932	1251	89
933	1252	88
934	1254	87
935	1255	85
936	1256	84
937	1257	83
938	1258	81
939	1259	80
940	1260	79
941	1261	77
942	1262	76
943	1263	74
944	1264	73
945	1266	72
946	1267	70
947	1268	69
948	1269	68
949	1270	66
950	1271	65
951	1272	64
952	1273	62
953	1275	61
954	1275	60
955	1277	58
956	1278	57
957	1279	56
958	1280	54
959	1281	53
960	1282	52
961	1284	50
962	1284	49
963	1286	48
964	1287	46
965	1288	45
966	1289	43
967	1290	42
968	1291	41
